mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
160.5339429,1.728390868,0.87132899,0.026443268,10,10,"{'batch_size': 10, 'epochs': 10}",0.574365855,0.708735677,0.726148034,0.669749855,0.067820244,9
786.2998795,2.272683195,0.847094377,0.034553174,10,50,"{'batch_size': 10, 'epochs': 50}",0.691920839,0.700172809,0.652876088,0.681656579,0.020627833,7
1574.185326,3.206951954,0.852051973,0.025335862,10,100,"{'batch_size': 10, 'epochs': 100}",0.379252027,0.652884635,0.653364834,0.561833832,0.129104981,17
80.27273814,0.078286421,0.527930975,0.009516683,20,10,"{'batch_size': 20, 'epochs': 10}",0.739683048,0.68475949,0.696383045,0.706941861,0.023632827,3
401.2109087,3.027961504,0.501491706,0.022251982,20,50,"{'batch_size': 20, 'epochs': 50}",0.656952399,0.637346555,0.636061031,0.643453328,0.009559701,13
795.4464305,1.963898106,0.502457539,0.012466548,20,100,"{'batch_size': 20, 'epochs': 100}",0.633984124,0.600512615,0.606751414,0.613749384,0.014533047,14
47.25729116,0.267132412,0.624859254,0.027440322,40,10,"{'batch_size': 40, 'epochs': 10}",0.561615475,0.771249728,0.670151649,0.667672284,0.08560078,11
235.43181,0.586915828,0.616462469,0.029075701,40,50,"{'batch_size': 40, 'epochs': 50}",0.638339301,0.694967023,0.688727878,0.674011401,0.025352261,8
476.5852013,3.357870192,0.690729777,0.053354218,40,100,"{'batch_size': 40, 'epochs': 100}",0.60522244,0.603424019,0.619849854,0.609498771,0.007356053,15
34.30323879,0.347370518,0.598730326,0.060792873,60,10,"{'batch_size': 60, 'epochs': 10}",0.748045215,0.736764967,0.731960902,0.738923695,0.006741481,1
168.5059093,0.26948619,0.547200918,0.01194202,60,50,"{'batch_size': 60, 'epochs': 50}",0.638473496,0.726372958,0.680929425,0.681925293,0.035891714,6
328.7586378,2.721487149,0.505061388,0.006400474,60,100,"{'batch_size': 60, 'epochs': 100}",0.638839809,0.598709427,0.548866073,0.595471769,0.036802899,16
25.8587567,0.154161984,0.452789466,0.014845068,80,10,"{'batch_size': 80, 'epochs': 10}",0.696633838,0.755621228,0.733362171,0.728539079,0.024321797,2
127.5858957,0.348512606,0.441357613,0.028890898,80,50,"{'batch_size': 80, 'epochs': 50}",0.680189222,0.66359591,0.664583584,0.669456238,0.007600069,10
255.6793894,0.606839905,0.427563429,0.012556808,80,100,"{'batch_size': 80, 'epochs': 100}",0.601275892,0.586813906,0.255019059,0.481036286,0.159927332,18
21.77139489,0.29893374,0.431652625,0.012172415,100,10,"{'batch_size': 100, 'epochs': 10}",0.739300244,0.650799459,0.723575276,0.704558326,0.038551528,4
109.1940819,0.122757238,0.463870923,0.014955084,100,50,"{'batch_size': 100, 'epochs': 50}",0.703479161,0.726867098,0.652724735,0.694356998,0.03094816,5
212.8295693,0.370948349,0.397732337,0.009682119,100,100,"{'batch_size': 100, 'epochs': 100}",0.658593897,0.652060523,0.652794349,0.654482923,0.002922295,12
