mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10310797691345215,0.015856869426140036,0.0,0.0,squared_error,4,auto,0.0,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'max_samples': 0.0, 'n_estimators': 100}",,,,,,,,11
16.203229904174805,0.3792488423287016,0.03413510322570801,0.0042956344331238775,squared_error,4,auto,0.1,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'max_samples': 0.1, 'n_estimators': 100}",0.7670073706176439,0.7427622725136345,0.7945487547226012,0.7125322537089338,0.749643161792245,0.7532987626710117,0.027113749543975624,10
33.7456717967987,0.4119485513308683,0.03595147132873535,0.005358927775280165,squared_error,4,auto,0.2,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'max_samples': 0.2, 'n_estimators': 100}",0.7661449346387209,0.7452007947869221,0.7969268211062834,0.7130213557660836,0.7547716684744981,0.7552131149545016,0.027350041813758774,8
49.33958225250244,0.46249356487922777,0.041727733612060544,0.008657065594918214,squared_error,4,auto,0.3,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'max_samples': 0.3, 'n_estimators': 100}",0.7655295021015114,0.750231062119678,0.797558160232818,0.7110017773390347,0.7513680916194309,0.7551377186824946,0.02790609148213165,9
63.93486919403076,1.2967822430556586,0.034746313095092775,0.00578311531664115,squared_error,4,auto,0.4,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'max_samples': 0.4, 'n_estimators': 100}",0.7673476992825006,0.7512308159045544,0.7979898968929694,0.7107577997561698,0.7525459376094237,0.7559744298891236,0.02819024937020773,3
77.00200238227845,1.186515081879576,0.03181643486022949,0.004633703010596228,squared_error,4,auto,0.5,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'max_samples': 0.5, 'n_estimators': 100}",0.7670778961289542,0.751821843090828,0.7981191664381062,0.7112722135423306,0.7527760607294166,0.756213435985927,0.02801764390688586,2
88.29749088287353,0.671676047814657,0.0326533317565918,0.005427481497966836,squared_error,4,auto,0.6,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'max_samples': 0.6, 'n_estimators': 100}",0.7656271590514613,0.7510408923121107,0.7981876324934234,0.7111326744818285,0.7534308556487854,0.755883842797522,0.027988144687473925,5
100.25623016357422,0.75130942081625,0.03326849937438965,0.005143358164032044,squared_error,4,auto,0.7,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'max_samples': 0.7, 'n_estimators': 100}",0.7678030555243491,0.750470088053207,0.7993900653982059,0.7119817639514501,0.7526293155829178,0.7564548577020259,0.028286116600660105,1
109.28161191940308,1.2976596305804284,0.032934141159057614,0.002350651634323575,squared_error,4,auto,0.8,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'max_samples': 0.8, 'n_estimators': 100}",0.7669847794066736,0.750302171702446,0.7984519005438886,0.7123893693914831,0.7510905793447124,0.7558437600778407,0.027860947379393222,7
119.45100235939026,1.510750184867328,0.03244218826293945,0.004344870817013343,squared_error,4,auto,0.9,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'max_samples': 0.9, 'n_estimators': 100}",0.7683357806242237,0.7496151863286097,0.7982480015747769,0.7122106559088441,0.7512547970250685,0.7559328842923045,0.027992256253848307,4
127.92660336494446,2.986362548852923,0.03239960670471191,0.004220947808801552,squared_error,4,auto,1.0,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'max_samples': 1.0, 'n_estimators': 100}",0.7677650308082358,0.7503787332157215,0.7976689638976618,0.7128602282212733,0.7506240946386655,0.7558594101563115,0.0275541596951797,6
